ID,User_id,Sold,Gender,Category,subcategory,size,State,Brand,Colors,Price,Image,Images,Description,Title,Views,Interested,Followers,Reviews
841235285,36260360,,F,532,,M / 38 / 10,Very good,Dolce & Gabbana,Light blue,60,,downloads/36260360/02_00cb6_AwG6g7pXNsEswNWP3Vyo2rU2.jpeg,"Small men’s size, high quality designer blazer. Authentic Dolce&Gabbana. Beautiful powder blue colour.",Dolce & Gabbana blazer,94,9,14,2
841235285,36260360,,F,532,,M / 38 / 10,Very good,Dolce & Gabbana,Light blue,60,,downloads/36260360/02_00ac4_QcZZcVA1VxZkMwNQUMJZhHsh.jpeg,"Small men’s size, high quality designer blazer. Authentic Dolce&Gabbana. Beautiful powder blue colour.",Dolce & Gabbana blazer,94,9,14,2
841235285,36260360,,F,532,,M / 38 / 10,Very good,Dolce & Gabbana,Light blue,60,,downloads/36260360/01_00594_pFGrRZ4BwgGeCYhfEC1LtoAe.jpeg,"Small men’s size, high quality designer blazer. Authentic Dolce&Gabbana. Beautiful powder blue colour.",Dolce & Gabbana blazer,94,9,14,2
841244965,36260360,,F,223,,M / 38 / 10,Good,Vintage,Rose,12,,downloads/36260360/02_008c7_hz8hoxfQUnr7oMnWeuWUaZFb.jpeg,"Pastel flower dream
",Original 70s top,15,4,14,2
841244965,36260360,,F,223,,M / 38 / 10,Good,Vintage,Rose,12,,downloads/36260360/02_0152a_iDH6tBajffyZPsPeLBnDSDPX.jpeg,"Pastel flower dream
",Original 70s top,15,4,14,2
841222428,36260360,,F,1056,,S / 36 / 8,Very good,Vintage,White,29,,downloads/36260360/02_006b7_R4mUandc3yTaBQjcDVxAqygQ.jpeg,Original vintage dress from de 70s,70s vintage dress,69,8,14,2
841222428,36260360,,F,1056,,S / 36 / 8,Very good,Vintage,White,29,,downloads/36260360/02_02071_Ka8TqXpQsqmQyucw2zCYYZKB.jpeg,Original vintage dress from de 70s,70s vintage dress,69,8,14,2
841222428,36260360,,F,1056,,S / 36 / 8,Very good,Vintage,White,29,,downloads/36260360/02_02343_VmRyTrVUhAJYmxCBNES31LiC.jpeg,Original vintage dress from de 70s,70s vintage dress,69,8,14,2
841155804,36260360,,F,228,,S / 36 / 8,Good,MarcCain,Brown,15,,downloads/36260360/02_02215_Gmj8qk3YP47KSVBMTZUR5ky2.jpeg,Designer spencer with giraffe print,Cute giraffe spencer,20,4,14,2
841155804,36260360,,F,228,,S / 36 / 8,Good,MarcCain,Brown,15,,downloads/36260360/02_0225c_PPXUURmimwoVmpvJan5BQaLW.jpeg,Designer spencer with giraffe print,Cute giraffe spencer,20,4,14,2
840557734,36260360,,F,1041,,S / 36 / 8,Good,FILA,White,10,,downloads/36260360/02_0235b_8ejeHZ1qMdN3Uej5DnagbWbq.jpeg,"Remake van Episode
",Sleeveless polo crop top Fila,46,4,14,2
840557734,36260360,,F,1041,,S / 36 / 8,Good,FILA,White,10,,downloads/36260360/02_0213c_5h1rJ77bAiYhzE68sA6q1HGG.jpeg,"Remake van Episode
",Sleeveless polo crop top Fila,46,4,14,2
840557734,36260360,,F,1041,,S / 36 / 8,Good,FILA,White,10,,downloads/36260360/02_01ac5_GQ2RnSYDFAmVwYTahBSSYzr4.jpeg,"Remake van Episode
",Sleeveless polo crop top Fila,46,4,14,2
840557734,36260360,,F,1041,,S / 36 / 8,Good,FILA,White,10,,downloads/36260360/01_01fd8_HwEDKqCXfMqL8se5mR5Db5V8.jpeg,"Remake van Episode
",Sleeveless polo crop top Fila,46,4,14,2
840553063,36260360,,F,194,,M / 38 / 10,Very good,Vintage,Pink,12,,downloads/36260360/02_0141b_dY686Cg2HPyCP3ofc5n63zdd.jpeg,So cute in this pink colour and the little details in the fabric.,Vintage pastel pink cardigan,59,7,14,2
840553063,36260360,,F,194,,M / 38 / 10,Very good,Vintage,Pink,12,,downloads/36260360/02_00ad2_AcUqmNDoYUnfkYki638TACGv.jpeg,So cute in this pink colour and the little details in the fabric.,Vintage pastel pink cardigan,59,7,14,2
840553063,36260360,,F,194,,M / 38 / 10,Very good,Vintage,Pink,12,,downloads/36260360/02_0159b_XrAjWHnZdSLqfbF2CdSHn6Lr.jpeg,So cute in this pink colour and the little details in the fabric.,Vintage pastel pink cardigan,59,7,14,2
836908539,36260360,,F,532,,S / 36 / 8,Very good,Vintage,White,10,,downloads/36260360/02_01ac4_aMFqvZ8JSb7bEftUfkUtNkvT.jpeg,"super cute with the 2 closings at the top and beautiful fabric. 3/4 sleeve
",White asian style cardigan,45,3,14,2
836908539,36260360,,F,532,,S / 36 / 8,Very good,Vintage,White,10,,downloads/36260360/02_01042_BWqvcwMy8imcc4ta5fooBzTp.jpeg,"super cute with the 2 closings at the top and beautiful fabric. 3/4 sleeve
",White asian style cardigan,45,3,14,2
836908539,36260360,,F,532,,S / 36 / 8,Very good,Vintage,White,10,,downloads/36260360/02_00aa2_4f9E7Y57yRyCA4JC6Q2FQWH3.jpeg,"super cute with the 2 closings at the top and beautiful fabric. 3/4 sleeve
",White asian style cardigan,45,3,14,2
836898691,36260360,,F,199,,L / 40 / 12,Very good,Vintage,Black,12,,downloads/36260360/01_00e3e_bYpANq5hVxPwLgYi2Nw6Pf2C.jpeg,"Chique and sexy skirt with front buttons and splits. Barely worn!
",Long pinstripe skirt with front and backsplit ,32,4,14,2
836898691,36260360,,F,199,,L / 40 / 12,Very good,Vintage,Black,12,,downloads/36260360/02_01c5d_PW918u6etXegqRgjjT2MjCPJ.jpeg,"Chique and sexy skirt with front buttons and splits. Barely worn!
",Long pinstripe skirt with front and backsplit ,32,4,14,2
836898691,36260360,,F,199,,L / 40 / 12,Very good,Vintage,Black,12,,downloads/36260360/02_02054_5FQjVqw3RcThWQqefA3ZoGPx.jpeg,"Chique and sexy skirt with front buttons and splits. Barely worn!
",Long pinstripe skirt with front and backsplit ,32,4,14,2
836898691,36260360,,F,199,,L / 40 / 12,Very good,Vintage,Black,12,,downloads/36260360/02_00257_DRuuKjbooTwinV1oJxSHrAhX.jpeg,"Chique and sexy skirt with front buttons and splits. Barely worn!
",Long pinstripe skirt with front and backsplit ,32,4,14,2
836879751,36260360,,F,198,,M / 38 / 10,Very good,Vintage,Brown,10,,downloads/36260360/02_022fc_LXdzPWxjNTizmnVrFg184Wt7.jpeg,"super cute vintage (80s) wool skirt. made in italy. print is white/brown/blue/pink. length: 48 cm
",Wool pied de poule print,67,11,14,2
836879751,36260360,,F,198,,M / 38 / 10,Very good,Vintage,Brown,10,,downloads/36260360/02_0111c_A8ubH3U2DpRaCnmxW84A1foo.jpeg,"super cute vintage (80s) wool skirt. made in italy. print is white/brown/blue/pink. length: 48 cm
",Wool pied de poule print,67,11,14,2
836879751,36260360,,F,198,,M / 38 / 10,Very good,Vintage,Brown,10,,downloads/36260360/02_000ca_miRY2T8mW5k66YFpu84XmkR9.jpeg,"super cute vintage (80s) wool skirt. made in italy. print is white/brown/blue/pink. length: 48 cm
",Wool pied de poule print,67,11,14,2
836879751,36260360,,F,198,,M / 38 / 10,Very good,Vintage,Brown,10,,downloads/36260360/02_01825_4xAKW7DoDFbijGMRhT4vszm2.jpeg,"super cute vintage (80s) wool skirt. made in italy. print is white/brown/blue/pink. length: 48 cm
",Wool pied de poule print,67,11,14,2
836879751,36260360,,F,198,,M / 38 / 10,Very good,Vintage,Brown,10,,downloads/36260360/02_009fb_SGNzAwrDHg3sEDhj4hC6SZZm.jpeg,"super cute vintage (80s) wool skirt. made in italy. print is white/brown/blue/pink. length: 48 cm
",Wool pied de poule print,67,11,14,2
836879751,36260360,,F,198,,M / 38 / 10,Very good,Vintage,Brown,10,,downloads/36260360/02_0132e_JeM7q7GGpfKZASPH6RwsmVTU.jpeg,"super cute vintage (80s) wool skirt. made in italy. print is white/brown/blue/pink. length: 48 cm
",Wool pied de poule print,67,11,14,2
836866468,36260360,,F,1056,,M / 38 / 10,Very good,original vintage,Brown,35,,downloads/36260360/02_00015_ADUCVDGJWkXDs4HRaYkSV8Ab.jpeg,"authentic dress from the 70s. the condition is perfect and the print is so beautiful and rare! the vintage size is a 40 but it fits more like a 38


",Original vintage 70s mididress,0,4,14,2
836866468,36260360,,F,1056,,M / 38 / 10,Very good,original vintage,Brown,35,,downloads/36260360/02_01aad_J3VEAXZNUscSLn11X6VKTtch.jpeg,"authentic dress from the 70s. the condition is perfect and the print is so beautiful and rare! the vintage size is a 40 but it fits more like a 38


",Original vintage 70s mididress,0,4,14,2
836866468,36260360,,F,1056,,M / 38 / 10,Very good,original vintage,Brown,35,,downloads/36260360/02_00a8d_UfrFURtakio1sogFV1YDm9M5.jpeg,"authentic dress from the 70s. the condition is perfect and the print is so beautiful and rare! the vintage size is a 40 but it fits more like a 38


",Original vintage 70s mididress,0,4,14,2
836707608,36260360,,F,211,,40,Good,Tamaris,Brown,25,,downloads/36260360/02_01d79_LXSBZkd6uwkYv1WSBvy1m3ym.jpeg,90s squared toes and heel real leather boots. lined with fleece,Squared toes leather boots,18,2,14,2
836707608,36260360,,F,211,,40,Good,Tamaris,Brown,25,,downloads/36260360/02_00e1b_TGeakpS8VBPKJ2WKHMGXP1Dt.jpeg,90s squared toes and heel real leather boots. lined with fleece,Squared toes leather boots,18,2,14,2
836707608,36260360,,F,211,,40,Good,Tamaris,Brown,25,,downloads/36260360/02_0165e_rmdhPBhhvga9dyQGtGMUqUNJ.jpeg,90s squared toes and heel real leather boots. lined with fleece,Squared toes leather boots,18,2,14,2
475374116,36260360,,F,176,,M / 38 / 10,Good,Vintage,Blue,15,,downloads/36260360/01_017ba_2hrwwsKUZKCpxdKURTCjbHr1.jpeg,"Super mooi model met bijpassende riem!
",Jaren 80 jurkje,44,3,14,2
475374116,36260360,,F,176,,M / 38 / 10,Good,Vintage,Blue,15,,downloads/36260360/01_017c3_HtdSiwWUFNmXa9q4c4gCWFXF.jpeg,"Super mooi model met bijpassende riem!
",Jaren 80 jurkje,44,3,14,2
475374116,36260360,,F,176,,M / 38 / 10,Good,Vintage,Blue,15,,downloads/36260360/01_01606_2zKXKpKDhuLJ6n7vb53XNmrg.jpeg,"Super mooi model met bijpassende riem!
",Jaren 80 jurkje,44,3,14,2
