ID,Category,Price,Size,State,Brand,Colors,Amount_Of_Pictures,Ratio
831807330,Jacket,24.0,L / 40 / 12,Very good,Vintage,Brown,3,10.88888888888889
831794139,Cardigan,49.9,L / 40 / 12,Very good,puccini,Black,7,inf
831781864,Sweater,14.9,M / 38 / 10,Very good,Vintage,Grey,4,20.5
831760863,Suit,12.9,L / 40 / 12,Very good,Vintage,Orange,5,8.0
831751666,Sweater,14.9,M / 38 / 10,Very good,Vintage,Black,4,29.0
831731955,Top,12.9,S / 36 / 8,Very good,Vintage,Pink,3,11.5
840728236,Top,2.5,M / 38 / 10,Very good,camaieu,Black,7,inf
840723404,Blouse,4.0,M / 38 / 10,Very good,Monki,Blue,5,30.0
840740414,Dress,15.0,M / 38 / 10,New without tags,King Louie,Black,6,inf
840734738,Top,5.0,M / 38 / 10,Very good,Expresso,Black,5,inf
830608421,Jeans,6.0,L / 40 / 12,Good,MAC,Blue,9,inf
830853018,Top,5.0,S / 36 / 8,Very good,COS,Black,5,20.0
830848583,Sweater,13.0,L / 40 / 12,Good,COS,Dark green,7,16.2
830851147,Blouse,5.0,S / 36 / 8,New without tags,Jacqueline de Yong,Blue,5,4.0
830844663,Dress,10.0,M / 38 / 10,Good,Bruuns bazaar,Black,12,inf
830854110,Skirt,13.5,M / 38 / 10,New without tags,Vintage,Lilac,9,inf
830856092,Pants,9.0,M / 38 / 10,Very good,Marks & Spencer,Black,5,inf
830852381,Top,2.0,M / 38 / 10,Very good,WE,Coral,6,inf
830849505,Blouse,5.0,L / 40 / 12,Very good,Vintage,Black,7,inf
824162077,Pajamas,10.0,L / 40 / 12,New without tags,Calvin Klein,Blue,4,16.75
824208682,Pants,4.0,M / 38 / 10,Good,Expresso,Black,6,inf
824244810,Dress,20.0,M / 38 / 10,New without tags,je suis rachel pappo,Blue,6,inf
824197450,Swimsuit,11.0,M / 38 / 10,Very good,beachlife,Blue,5,86.0
824186817,Pants,2.0,M / 38 / 10,Good,Promod,Yellow,6,1.0
824175338,Top,4.0,S / 36 / 8,Very good,Vintage,Green,4,inf
824169719,Athletic Wear,4.0,M / 38 / 10,New without tags,Asics,Black,6,inf
824133580,Top,5.0,M / 38 / 10,Very good,Vanilia,Black,4,12.25
488496990,Blouse,10.0,M / 38 / 10,Very good,Nice Things,Black,5,15.0
682950349,Jacket,6.0,XS / 34 / 6,Good,Denim Co,Red,7,inf
682927411,Boots,17.0,39,Very good,Vintage,Black,6,23.0
682921884,Blouse,6.0,M / 38 / 10,Very good,Betty Barclay,Apricot,6,inf
682917509,Cardigan,15.0,M / 38 / 10,New without tags,Onbekend,Grey,9,inf
577193458,Shoes,16.0,39,New without tags,Vintage,Black,8,16.4
577185262,Blouse,7.5,M / 38 / 10,Very good,Laura Scott,White,8,15.0
519815306,Bag,7.5,,Very good,Vintage,Turquoise,6,30.0
519659255,Blouse,3.0,S / 36 / 8,Good,Mango,Black,4,13.0
519637346,Boots,14.0,39,Satisfactory,Shabbies amsterdam,Beige,8,82.0
519618793,Jacket,4.0,S / 36 / 8,Good,Vintage,Black,7,35.0
519039994,Blouse,3.0,L / 40 / 12,Good,ara,Blue,7,21.0
507315322,Sneakers,15.0,36,Very good,Nomad,Brown,6,inf
507307398,Shoes,18.5,39,Very good,Vialis,Navy,8,27.0
